age,title,bill_id,bill_number,content
21,2020년도 정보통신진흥기금운용계획변경안,PRC_F2N0T0T6K0N4K0W9P4D2N4S8J1U0A7,2100128,
21,2021년도 제2회 추가경정예산안,PRC_G2N1Q0R7J0M2Y0R9L4D6J1F1Q7W1M0,2111282,
21,2020년도 남북협력기금운용계획변경안,PRC_G2K0C0F6Q0V4S0I9J4I4H0X5S4W1D0,2100131,
21,2019회계연도 결산 관련 감사원에 대한 감사요구안,PRC_T2H0T1N1B1K1G1I2X4Q1X4L5Q7G8P7,2105317,
21,2020년도 제3회 추가경정예산안,PRC_S2B0A0B6W0W4N0N9Q0J7M2V5C8B5K5,2100120,
21,2020년도 양성평등기금운용계획변경안,PRC_I2L0E0A6G0S4W0T9W5O4K0R6H6X4O9,2100157,
21,2019회계연도 한국교육방송공사 결산 승인안,PRC_K2B0G0K6P0E1C1Y5S1L3J4L1S6D8Q9,2100031,
21,2020회계연도 결산 관련 감사원에 대한 감사요구안,PRC_R2N1Z1P2N0D2N1B4W2K4D2H8I3Z9M4,2113686,
21,2020년도 문화예술진흥기금운용계획변경안,PRC_S2Q0X0V6U0L4V0E9F4G5T0K2A4U6Q2,2100133,
21,2021년도 소상공인시장진흥기금운용계획변경안,PRC_X2Q1S0U3G0R4P0N9K1T8Y0I4V9X4X0,2108503,
21,2022년도 자유무역협정이행지원기금운용계획변경안,PRC_G2B2S0Y5H1S3W0E9J5V6N2G8T5B6S0,2115584,
21,2019회계연도 결산,PRC_G2Y0B0S6Y0D1R1C4U1L6C5P4T4Q6Q7,2100027,
21,2021년도 제1회 추가경정예산안,PRC_Y2L1R0N3D0U4E0C9E1U4J2L2R3E3I5,2108497,
21,2020년도 방사성폐기물관리기금운용계획변경안,PRC_Z2T0W0U6W0Z4E0F9J4E9Q1Y5W4Z1G7,2100144,
21,2020년도 소상공인시장진흥기금운용계획변경안,PRC_N2T0U0U6W0B4O0C9T5C0U2J1S3R1I6,2100147,
21,2021년도 고용보험기금운용계획변경안,PRC_B2M1X0T3J0K4L0W9V1O8K2U8P0O9Z1,2108504,
21,2022년도 방송통신발전기금운용계획변경안,PRC_Z2H2B0F5J1D3H0Z9R5A2H3M1P1M0I1,2115579,
21,2021년도 공공자금관리기금운용계획변경안,PRC_A2B1F0Z7J0E2C0C9Z4P7S1W3Y6O2K5,2111285,
21,2020년도 신용보증기금운용계획변경안,PRC_P2P0W0T6R0U4J0H9G4N0Y4I3V9X2G9,2100123,
21,2020년도 중소벤처기업창업및진흥기금운용계획변경안,PRC_K2V0K0V6D0O4Y0I9G4X9P3S8D3W3Z3,2100145,
21,2020년도 청소년육성기금운용계획변경안,PRC_Y2X0P0O6P0W4L0I9B5M3P4S8N9G7O2,2100156,
21,2020년도 농림수산업자신용보증기금운용계획변경안,PRC_D2M0F0V6J0R4V0T9D4C0M2H1G0Y7K7,2100122,
21,2020년도 장애인고용촉진및직업재활기금운용계획변경안,PRC_D2B0M0D6H0J4Q0L9I5Q2B1R3A7C4F3,2100152,
21,2020년도 응급의료기금운용계획변경안,PRC_R2X0E0C6E0A4Q0C9Q5G1S0M0I4A3Z4,2100149,
21,2022년도 전력산업기반기금운용계획변경안,PRC_O2B2D0N5A1G3A0D9U5U9O0M4P5B1K0,2115587,
21,2022년도 기후대응기금운용계획변경안,PRC_M2Z2W0Z5V1H3L0H9W5N1H1D9N1X8C4,2115577,
21,2022년도 신용보증기금운용계획변경안,PRC_M2B2I0X5D1I3H0P9R4Q9I1W5E9R8I1,2115573,
21,2022회계연도 예비비지출 승인의 건,PRC_F2Z3T0Y5Z3G1K1L3U2H1U4S2B5Q8V1,2122387,
21,2020년도 제4회 추가경정예산안,PRC_U2P0J0C9Q1X1E0J8S5O9Q3S0J8N2K7,2103748,
21,2022년도 공무원연금기금운용계획변경안,PRC_F2Y2P0J5N1N3U0P9U5Y3H0S1J9D1X0,2115580,
21,2021회계연도 한국교육방송공사 결산 승인안 ,PRC_S2L2I0H5H2R7E1L7B4P8B1Z6L1L6K0,2115782,
21,2020년도 무역보험기금운용계획변경안,PRC_M2J0Q0J6B0N4R0A9C4H8M5Q4Y7U0E7,2100143,
21,2021년도 농지관리기금운용계획변경안,PRC_R2S1L0U3S0E4M0Q9W1M7M3F8O6L3M1,2108502,
21,2020년도 농산물가격안정기금운용계획변경안,PRC_B2H0Q0X6N0P4W0F9E4U7I4F8H9F6H4,2100140,
21,2020년도 수산발전기금운용계획변경안,PRC_G2B0T0L6W0W4B0R9K4A8J0M7E7F4N3,2100141,
21,2021년도 문화예술진흥기금운용계획변경안,PRC_Q2D1O0X7G0D2W0I9A4I9Z3T9G8H3V2,2111288,
21,2022년도 농지관리기금운용계획변경안,PRC_C2G2L0W5Q1P3N0K9P5J4D1X8U1I5Z7,2115582,
21,2020년도 방송통신발전기금운용계획변경안,PRC_X2S0E0Z6T0Z4D0M9S4H3T0Y9U2L4R2,2100129,
21,2022년도 농산물가격안정기금운용계획변경안,PRC_X2G2K0N5H1M3H0D9U5O7R2E1T1Y3Y2,2115585,
21,2020년도 농업·농촌공익기능증진직접지불기금운용계획변경안,PRC_B2Q0S0H6E0R4G0R9J4K7L1T4T5M3I4,2100139,
21,2021년도 국민체육진흥기금운용계획변경안,PRC_Z2N1S0I3U0Y4B0Q9A1Q7U1P1Q4L0A5,2108501,
21,2021년도 고용보험기금운용계획변경안,PRC_U2S1W0G7J0K2R0G9O5J0O5R8Z8D5J4,2111291,
21,2021년도 산업재해보상보험및예방기금운용계획변경안,PRC_E2C1Z0S7F0Y2Z0W9S5Q1H3Z1M8M8K8,2111292,
21,2022년도 국유재산관리기금운용계획변경안,PRC_G2U2Y0V5Q1K3I0X9R5K1W5W8B3C6K0,2115578,
21,2020년도 보훈기금운용계획변경안,PRC_B2M0L0R6E0B4E0F9W3K9X4C0T7I7N6,2100121,
21,2021년도 관광진흥개발기금운용계획변경안,PRC_V2G1X0E7A0W2D0K9Y5F0Z0H4M5W3Z9,2111289,
21,2020년도 중소벤처기업창업 및 진흥기금운용계획변경안,PRC_R2B0R0Q9Y1M1T0G9A0Z9S5D3U2O7S3,2103751,
21,2021년도 중소벤처기업창업 및 진흥기금운용계획변경안,PRC_G2T1G0O7N0H2O0O9Y5F3S0L5R1W3F1,2111296,
21,2022년도 제2회 추가경정예산안,PRC_P2Y2Y0F5J1C3N0J9I3G8H0Y2E5V2K8,2115572,
21,2020년도 국민건강증진기금운용계획변경안,PRC_P2E0D0H6T0M4W0N9E5K0S3W9U7H0E2,2100148,
21,2020년도 복권기금운용계획변경안,PRC_D2I0V0C6K0D4R0L9Q4E1K0J7O2X1A0,2100124,
21,2022회계연도 한국방송공사 결산 승인안,PRC_G2Y3J0F5S3U1F1Y7W3D3H1K3G1D2C7,2122416,
